tiempo,temperatura,ln_temperatura
0.000000, 90.000000, 4.174387
55.944592, 89.000000, 4.158883
103.775772, 88.000000, 4.143135
156.988495, 87.000000, 4.127134
206.107712, 86.000000, 4.110874
257.798248, 85.000000, 4.094345
309.684113, 84.000000, 4.077538
367.678589, 83.000000, 4.060443
426.829895, 82.000000, 4.043051
483.492401, 81.000000, 4.025352
542.665771, 80.000000, 4.007333
607.126221, 79.000000, 3.988984
672.231506, 78.000000, 3.970292
733.803833, 77.000000, 3.951244
796.565369, 76.000000, 3.931826
859.376282, 75.000000, 3.912023
926.588196, 74.000000, 3.891820
985.892517, 73.000000, 3.871201
1052.219727, 72.000000, 3.850147
1125.923584, 71.000000, 3.828641
1204.432373, 70.000000, 3.806663
1269.370728, 69.000000, 3.784190
1362.409668, 68.000000, 3.761200
1432.313599, 67.000000, 3.737670
1519.854370, 66.000000, 3.713572
1597.824463, 65.000000, 3.688879
1680.081665, 64.000000, 3.663562
1770.732788, 63.000000, 3.637586
1855.378784, 62.000000, 3.610918
1939.530762, 61.000000, 3.583519
2016.011108, 60.000000, 3.555348
2120.681885, 59.000000, 3.526361
2225.319580, 58.000000, 3.496508
2324.914551, 57.000000, 3.465736
2427.367432, 56.000000, 3.433987
2538.653320, 55.000000, 3.401197
2654.517578, 54.000000, 3.367296
2781.116211, 53.000000, 3.332205
2899.089600, 52.000000, 3.295837
3022.468750, 51.000000, 3.258096
3143.975098, 50.000000, 3.218876
3283.844971, 49.000000, 3.178054
3427.357910, 48.000000, 3.135494
3570.216553, 47.000000, 3.091043
3726.384277, 46.000000, 3.044523
3884.389404, 45.000000, 2.995732
4052.604248, 44.000000, 2.944439
4228.656738, 43.000000, 2.890372
4414.790527, 42.000000, 2.833213
4618.916504, 41.000000, 2.772589
4831.495117, 40.000000, 2.708050
5056.677734, 39.000000, 2.639057
5300.734863, 38.000000, 2.564949
5555.840332, 37.000000, 2.484907
5830.058594, 36.000000, 2.397895
